Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI,Age
CAHO,Unknown,CAHO-metadata.xls,.xls,CAHO/,CAHO/CAHO-metadata.xls,,0.08
CAHO,Unknown,Copy of Munoz_LacCoreMetadata-1.xls,.xls,CAHO/,CAHO/Copy of Munoz_LacCoreMetadata-1.xls,,0.08
CAHO,Unknown,CAHO_HRMS.csv,.csv,CAHO/Data/corewall/,CAHO/Data/corewall/CAHO_HRMS.csv,,0.08
CAHO,Unknown,caho.cml,.cml,CAHO/Data/corewall/,CAHO/Data/corewall/caho.cml,,0.08
CAHO,Unknown,DougsFile.txt,.txt,CAHO/,CAHO/DougsFile.txt,,0.08
CAHO,Unknown,CAHO_HRMS.xls,.xls,CAHO/Geotek Data/high-resolution MS data/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS.xls,,0.08
CAHO,Unknown,CAHO_HRMS.xls,.xls,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS.xls,,0.08
CAHO,Unknown,CAHO_HRMS_20110601_part1.CSV,.CSV,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS_20110601_part1.CSV,,0.08
CAHO,Unknown,CAHO_HRMS_20110601_part1.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS_20110601_part1.xml,,0.08
CAHO,Unknown,CAHO_XYZ.xlsx,.xlsx,CAHO/Geotek Data/high-resolution MS data/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ.xlsx,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part1.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.bk,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part1.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.csv,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part1.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.xml,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part2.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.bk,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part2.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.csv,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part2.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.xml,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part3.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.bk,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part3.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.csv,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part3.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.xml,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part4.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.bk,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part4.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.csv,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part4.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.xml,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part5.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/CAHO_XYZ_20120605_part5.bk,,0.08
CAHO,Unknown,CAHO_XYZ_20120605_part5.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/CAHO_XYZ_20120605_part5.csv,,0.08
