Project,Type,FileName,FileExt,Parent Directory,Relative Path,Voc URI
CAHO,Unknown,CAHO-metadata.xls,.xls,CAHO/,CAHO/CAHO-metadata.xls,
CAHO,Unknown,Copy of Munoz_LacCoreMetadata-1.xls,.xls,CAHO/,CAHO/Copy of Munoz_LacCoreMetadata-1.xls,
CAHO,Unknown,CAHO_HRMS.csv,.csv,CAHO/Data/corewall/,CAHO/Data/corewall/CAHO_HRMS.csv,
CAHO,Unknown,caho.cml,.cml,CAHO/Data/corewall/,CAHO/Data/corewall/caho.cml,
CAHO,Unknown,DougsFile.txt,.txt,CAHO/,CAHO/DougsFile.txt,
CAHO,Unknown,CAHO_HRMS.xls,.xls,CAHO/Geotek Data/high-resolution MS data/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS.xls,
CAHO,Unknown,CAHO_HRMS.xls,.xls,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS.xls,
CAHO,Unknown,CAHO_HRMS_20110601_part1.CSV,.CSV,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS_20110601_part1.CSV,
CAHO,Unknown,CAHO_HRMS_20110601_part1.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_HRMS_20110601_part1/CAHO_HRMS_20110601_part1.xml,
CAHO,Unknown,CAHO_XYZ.xlsx,.xlsx,CAHO/Geotek Data/high-resolution MS data/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ.xlsx,
CAHO,Unknown,CAHO_XYZ_20120605_part1.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.bk,
CAHO,Unknown,CAHO_XYZ_20120605_part1.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.csv,
CAHO,Unknown,CAHO_XYZ_20120605_part1.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part1/CAHO_XYZ_20120605_part1.xml,
CAHO,Unknown,CAHO_XYZ_20120605_part2.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.bk,
CAHO,Unknown,CAHO_XYZ_20120605_part2.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.csv,
CAHO,Unknown,CAHO_XYZ_20120605_part2.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part2/CAHO_XYZ_20120605_part2.xml,
CAHO,Unknown,CAHO_XYZ_20120605_part3.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.bk,
CAHO,Unknown,CAHO_XYZ_20120605_part3.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.csv,
CAHO,Unknown,CAHO_XYZ_20120605_part3.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part3/CAHO_XYZ_20120605_part3.xml,
CAHO,Unknown,CAHO_XYZ_20120605_part4.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.bk,
CAHO,Unknown,CAHO_XYZ_20120605_part4.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.csv,
CAHO,Unknown,CAHO_XYZ_20120605_part4.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part4/CAHO_XYZ_20120605_part4.xml,
CAHO,Unknown,CAHO_XYZ_20120605_part5.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/CAHO_XYZ_20120605_part5.bk,
CAHO,Unknown,CAHO_XYZ_20120605_part5.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/CAHO_XYZ_20120605_part5.csv,
CAHO,Unknown,CAHO_XYZ_20120605_part5.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120605_part5/CAHO_XYZ_20120605_part5.xml,
CAHO,Unknown,CAHO_XYZ_20120606_part6.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.bk,
CAHO,Unknown,CAHO_XYZ_20120606_part6.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.csv,
CAHO,Unknown,CAHO_XYZ_20120606_part6.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part6/CAHO_XYZ_20120606_part6.xml,
CAHO,Unknown,CAHO_XYZ_20120606_part7.bk,.bk,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.bk,
CAHO,Unknown,CAHO_XYZ_20120606_part7.csv,.csv,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.csv,
CAHO,Unknown,CAHO_XYZ_20120606_part7.xml,.xml,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/,CAHO/Geotek Data/high-resolution MS data/CAHO_XYZ_20120606_part7/CAHO_XYZ_20120606_part7.xml,
CAHO,Unknown,CAHO12_MSCL.xls,.xls,CAHO/Geotek Data/whole-core data/,CAHO/Geotek Data/whole-core data/CAHO12_MSCL.xls,
CAHO,Unknown,CAHO_GRAS11_20110601_part1.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.cal,
CAHO,Unknown,CAHO_GRAS11_20110601_part1.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.dat,
CAHO,Unknown,CAHO_GRAS11_20110601_part1.out,.out,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.out,
CAHO,Unknown,CAHO_GRAS11_20110601_part1.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/,CAHO/Geotek Data/whole-core data/CAHO_GRAS11_20110601_part1/CAHO_GRAS11_20110601_part1.raw,
CAHO,Unknown,CAHO_MSCL.xls,.xls,CAHO/Geotek Data/whole-core data/,CAHO/Geotek Data/whole-core data/CAHO_MSCL.xls,
CAHO,Unknown,CAHO_MSCL_20120605_part1.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.cal,
CAHO,Unknown,CAHO_MSCL_20120605_part1.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.dat,
CAHO,Unknown,CAHO_MSCL_20120605_part1.out,.out,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.out,
CAHO,Unknown,CAHO_MSCL_20120605_part1.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120605_part1/CAHO_MSCL_20120605_part1.raw,
CAHO,Unknown,CAHO_MSCL_20120606_part2.cal,.cal,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.cal,
CAHO,Unknown,CAHO_MSCL_20120606_part2.dat,.dat,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.dat,
CAHO,Unknown,CAHO_MSCL_20120606_part2.raw,.raw,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/,CAHO/Geotek Data/whole-core data/CAHO_MSCL_20120606_part2/CAHO_MSCL_20120606_part2.raw,
