719699	ODP026BZQ	Sample 138-851E-5H-4 (21-22 cm.)
719700	ODP026BZR	Sample 138-851E-5H-4 (27-28 cm.)
719701	ODP026BZS	Sample 138-851E-5H-4 (31-32 cm.)
719702	ODP026BZT	Sample 138-851E-5H-4 (34-35 cm.)
705183	ODP025RM7	Sample 138-852B-12H-1 (60-61 cm.)
705184	ODP025RM8	Sample 138-852B-12H-1 (142-143 cm.)
705185	ODP025RMP	Sample 138-852B-12H-2 (19-20 cm.)
705186	ODP025RN3	Sample 138-852B-12H-3 (10-11 cm.)
705187	ODP025RN4	Sample 138-852B-12H-3 (60-61 cm.)
705188	ODP025RRV	Sample 138-853B-2H-5 (50-53 cm.)
705189	ODP025RRW	Sample 138-853B-2H-5 (55-58 cm.)
705190	ODP025RRX	Sample 138-853B-2H-5 (65-68 cm.)
705191	ODP025RRY	Sample 138-853B-2H-5 (70-73 cm.)
705192	ODP025RRZ	Sample 138-853B-2H-5 (78-81 cm.)
705193	ODP025RS0	Sample 138-853B-2H-5 (83-86 cm.)
705194	ODP025RS1	Sample 138-853B-2H-5 (50-51 cm.)
705195	ODP025RS2	Sample 138-853B-2H-5 (56-57 cm.)
705196	ODP025RS3	Sample 138-853B-2H-5 (65-66 cm.)
705197	ODP025RS4	Sample 138-853B-2H-5 (70-71 cm.)
705198	ODP025RS5	Sample 138-853B-2H-5 (78-79 cm.)
705199	ODP025RS6	Sample 138-853B-2H-5 (83-84 cm.)
705200	ODP025RS7	Sample 138-853B-2H-5 (60-61 cm.)
705201	ODP025RS8	Sample 138-853B-2H-5 (61-62 cm.)
705202	ODP025RS9	Sample 138-853B-2H-5 (75-76 cm.)
705203	ODP025RSA	Sample 138-853B-2H-5 (93-96 cm.)
705204	ODP025RSB	Sample 138-853B-2H-5 (98-101 cm.)
705205	ODP025RSC	Sample 138-853B-2H-5 (88-89 cm.)
705206	ODP025RSD	Sample 138-853B-2H-5 (90-91 cm.)
705207	ODP025RSE	Sample 138-853B-2H-5 (93-94 cm.)
705208	ODP025RSF	Sample 138-853B-2H-5 (98-99 cm.)
719703	ODP026BZU	Sample 138-851E-5H-4 (38-39 cm.)
719704	ODP026BZV	Sample 138-851E-5H-4 (42-43 cm.)
1538876	ODP031YCD	Sample 208-1263A-10H-1 (52-54 cm.)
719705	ODP026BZW	Sample 138-851E-5H-4 (47-48 cm.)
1538877	ODP031YCK	Sample 208-1263A-10H-2 (52-54 cm.)
719706	ODP026BZX	Sample 138-851E-5H-4 (50-51 cm.)
1538878	ODP031YDJ	Sample 208-1263A-10H-3 (52-54 cm.)
719707	ODP026BZY	Sample 138-851E-5H-4 (53-54 cm.)
1538879	ODP031YFT	Sample 208-1263A-10H-4 (52-54 cm.)
719708	ODP026BZZ	Sample 138-851E-5H-4 (57-58 cm.)
1538880	ODP031YIC	Sample 208-1263A-10H-5 (52-54 cm.)
186122	ODP031WTX	Sample 208-1262A-16H-1 (2-3 cm.)
719709	ODP026C00	Sample 138-851E-5H-4 (61-62 cm.)
1538881	ODP031YKJ	Sample 208-1263A-10H-6 (52-54 cm.)
186126	ODP031WTY	Sample 208-1262A-16H-1 (5-6 cm.)
719710	ODP026C01	Sample 138-851E-5H-4 (66-67 cm.)
1538882	ODP031YLZ	Sample 208-1263A-10H-7 (52-54 cm.)
186128	ODP031WTZ	Sample 208-1262A-16H-1 (8-9 cm.)
719711	ODP026C02	Sample 138-851E-5H-4 (70-71 cm.)
186131	ODP031WU0	Sample 208-1262A-16H-1 (11-12 cm.)
719712	ODP026C03	Sample 138-851E-5H-4 (73-74 cm.)
36513	ODP02OBLB	Sample 177-1089A-1H-1 (25-26.5 cm.)
720019	ODP026CD3	Sample 138-851E-7H-1 (90-91 cm.)
58527	ODP02OJE5	Sample 177-1093A-1H-1 (2-4.5 cm.)
186135	ODP031WU1	Sample 208-1262A-16H-1 (14-15 cm.)
719713	ODP026C04	Sample 138-851E-5H-4 (77-78 cm.)
186138	ODP031WU2	Sample 208-1262A-16H-1 (17-18 cm.)
719714	ODP026C05	Sample 138-851E-5H-4 (81-82 cm.)
186140	ODP031WU3	Sample 208-1262A-16H-1 (20-21 cm.)
719715	ODP026C06	Sample 138-851E-5H-4 (84-85 cm.)
186143	ODP031WU4	Sample 208-1262A-16H-1 (23-24 cm.)
719716	ODP026C07	Sample 138-851E-5H-4 (88-89 cm.)
186151	ODP031WU5	Sample 208-1262A-16H-1 (26-27 cm.)
719717	ODP026C08	Sample 138-851E-5H-4 (91-92 cm.)
