struct_name	table_name	column_name	column_id	go_struct_name	go_struct_type	json_name	code	xs_type	json_unit	json_unit_descript	json_descript
JanusAgeModel	OCD_AGE_MODEL	LEG	1	Leg	int64	Leg					Number identifying the cruise.
JanusAgeModel	OCD_AGE_MODEL	SITE	2	Site	int64	Site					Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled.
JanusAgeModel	OCD_AGE_MODEL	HOLE	3	Hole	string	Hole					Letter identifying the hole at a site from which a core was retrieved or data was collected.
JanusAgeModel	OCD_AGE_MODEL	AGE_MODEL_TYPE	4	Age_model_type	string	Age_model_type					The type of the age model - where or when it was constructed (shipboard, initial reports, post-moratorium).
JanusAgeModel	OCD_AGE_MODEL	DEPTH_MBSF	5	Depth_mbsf	string	Depth_mbsf		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf).
JanusAgeModel	OCD_AGE_MODEL	AGE_MA	6	Age_ma	string	Age_ma		float	ma	millions of years (ma)	Age in millions of years (ma).
JanusAgeModel	OCD_AGE_MODEL	CONTROL_POINT_COMMENT	7	Control_point_comment	sql.NullString	Control_point_comment					Remark on a control point for an age model.
JanusAgeModel	OCD_AGE_MODEL	AGE_MODEL_COMMENT	8	Age_model_comment	sql.NullString	Age_model_comment					Remark on an age model.
JanusAgeProfile	OCD_AGE_PROFILE	LEG	1	Leg	int64	Leg					Number identifying the cruise.
JanusAgeProfile	OCD_AGE_PROFILE	SITE	2	Site	int64	Site					Number identifying the site from which the core was retrieved. A site is the position of a beacon around which holes are drilled.
JanusAgeProfile	OCD_AGE_PROFILE	HOLE	3	Hole	string	Hole					Letter identifying the hole at a site from which a core was retrieved or data was collected.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_FOSSIL_GROUP	4	Datum_fossil_group	int64	Datum_fossil_group					Identifier (ID) of the fossil group of the datum.
JanusAgeProfile	OCD_AGE_PROFILE	FOSSIL_GROUP_NAME	5	Fossil_group_name	string	Fossil_group_name					Name of a fossil group.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_DEPTH	6	Datum_depth	string	Datum_depth		float	mbsf	meters below sea floor (mbsf)	Depth in meters below sea floor (mbsf) of datum.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_AGE	7	Datum_age	string	Datum_age		float	ma	millions of years (ma)	Age in millions of years (ma) of datum.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_DEPTH_ERROR	8	Datum_depth_error	sql.NullString	Datum_depth_error		float	mbsf	meters below sea floor (mbsf)	Error value of datum depth in meters below sea floor (mbsf).
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_AGE_ERROR	9	Datum_age_error	sql.NullString	Datum_age_error		float	ma	millions of years (ma)	Error value of datum age in millions of years (ma) of datum.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_ID	10	Datum_id	int64	Datum_id					Identifier (ID) of the datum.
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_TYPE	11	Datum_type	string	Datum_type					Type of datum such as first occurrence (FO), last common occurrence (LCO).
JanusAgeProfile	OCD_AGE_PROFILE	DATUM_DESCRIPTION	12	Datum_description	string	Datum_description					Description of datum - fossil name.
JanusAgeProfile	OCD_AGE_PROFILE	TAXON_ID	13	Taxon_id	int64	Taxon_id					Identifier (ID) of a fossil taxon.
JanusAgeProfile	OCD_AGE_PROFILE	GENUS_SUBGENUS	14	Genus_subgenus	string	Genus_subgenus					Name of the Genus/subgenus of a fossil taxon.
