table_name	struct_name	struct_descript	query_descript
OCD_AGE_MODEL	JanusAgeModel	Age model (or Age Depth Model) interpretations based mostly on paleontological but also paleomagnetic and radio-isotopic analyses.	Age Model
OCD_AGE_PROFILE	JanusAgeProfile	Interpretations of fossil datums used to construct age models for holes.	Age Profile
OCD_CHEM_CARB	JanusChemCarb	Measurements of carbonate data generated from instrumentation in the shipboard chemistry lab including weight percentages of inorganic, organic, and total carbon, calcium carbonate, nitrogen, sulfur, and hydrogen.	Chemical Carbonate
OCD_CHEM_GAS	JanusChemGas	Measurements of gas elements generated using gas chromatographs and natural gas analyzers in the shipboard chemistry lab.	Chemical Gas Element
OCD_CHEM_IW	JanusChemIw	Measurements of elements,  compounds, salinity, alkalinity, and pH from interstitial (pore) water samples generated using gas chromatography, mass spectrometry, and atomic emissions spectrometry in the shipboard chemistry lab.	Chemical Interstitial Water
OCD_CHEM_ROCK_EVAL	JanusChemRockEval	Measurements of type and maturity of organic carbon and hydrocarbon potential (for safety purposes) by sample pyrolysis using RockEval instrumentation.	Chemical Rock Eval
OCD_CORE_CLOSEUP_IMAGE	JanusCoreCloseupImage	URL links to closeup core photo images.	Core Closeup Image
OCD_CORE_IMAGE	JanusCoreImage	URL links to core and core-section photo images.	Core Image
OCD_CORE_SAMPLE	JanusCoreSample	Information on samples taken from cores for shipboard laboratories to fulfill minimum data requirements and post-cruise for research proposals.	Core Sample
OCD_CORE_SAMPLE_TOTAL	JanusCoreSampleTotal	Summary statistics regarding the number of samples taken for particular laboratory purposes or in fulfillment of a sample request.	Core Sample Total
OCD_CORE_SECTION_SUMMARY	JanusCoreSectionSummary	Summary of core and section depths and offsets.	Core Section Summary
OCD_CORE_SUMMARY	JanusCoreSummary	Summary of core depth intervals and offsets.	Core Summary
OCD_CRYOMAG	JanusCryomag	Measurements of paleomagnetic data including declination, inclination and intensity taken with a cryogenic magnetometer and other equipment.	Paleomagnetics
OCD_DHT	JanusDht	Measurements of downhole temperature.	Downhole Temperature
OCD_DIGITAL_RGB	JanusDigitalRgb	Measurements of red, green, blue (RGB) values taken on cores with a line-scan camera.	Digital Imaging RGB
OCD_GRA	JanusGra	Measurements of gamma-ray attenuation and calculated bulk density acquired using sensors on the whole-core multi-sensing track (WC-MST).	Gamma-Ray Attenuation (GRA)
OCD_ICP_AES	JanusIcpAes	Measurements of major and trace elements by geochemical analyses using inductively coupled plasma-atomic emmission spectrometry (ICP-AES).	Inductively Coupled Plasma-Atomic Emmission Spectrometry (ICP-AES)
OCD_LAB_SAMPLING_REF	JanusLabSamplingRef	Reference listing of Lab Sampling Codes.	Lab Sampling Codes Reference
OCD_LEG_SAMPLING	JanusLegSampling	Leg Sampling Codes used to link groups of samples to investigators.	Leg Sampling Codes
OCD_MAD	JanusMad	Index Properties of Moisture and Density (MAD) including moisture content, porosity, and void ratio derived from measurements from pycnometers and mass balances.	Moisture and Density (MAD) Index Properties
OCD_MISC_METADATA	JanusMiscMetadata	Miscellaneous metadata on instrumentation, analyses, and measurements.	Measurement Metadata
OCD_MISC_SPECIAL_HOLE	JanusMiscSpecialHole	Location and coring information on designated special holes.	Special Hole
OCD_MS2F	JanusMs2f	Measurements of point magnetic susceptibility acquired using a meter attached to the Archive Half Multisensor Track (AMST) in the shipboard environment.	Point Magnetic Susceptibility
OCD_MSCL	JanusMscl	Measurements of magnetic susceptibility acquired using a core logger configurable with one or two Bartington magnetic susceptibility sensors affixed to a push-rod style GeoTek rail system (MSCL).	Magnetic Susceptibility Core Logging
OCD_MSL	JanusMsl	Measurements of magnetic susceptibility acquired using a Bartington loop affixed to the whole-core multi-sensor track (WC-MST).	Magnetic Susceptibility Whole-Core Multi-Sensor Track (WC-MST)
OCD_NCR	JanusNcr	Measurements of non-contact resistivity (NCR) derived from GeoTek instrumentation.	Non-contact Resistivity
