json_name,json_unit,json_unit_descript,code,json_descript
A_star,,,*,Measurement value of the a* chromaticity green-red measurement of L*a*b* CIELAB system for color reflectance.
Abundance_code,,,,Code for abundance of a component in a thin section or smear slide.
Acoustic_signal_threshold,,valid values from 0-255,#,The strength of the acoustic signal for a velocity measurement.
Actual_daq_period,s,seconds (s),-- #,The actual data acquisition period used for measurements in seconds.
Adapter_used,,,,The adapter used for Penetrometer measurements in the physical properties laboratory.
Age_ma,ma,millions of years (ma),*,Age in millions of years (ma).
Age_model_type,,,,"The type of the age model - where or when it was constructed (shipboard, initial reports, post-moratorium)."
Al2O3_wt_pct,wt%,weight percent (wt%),*,Measurement value of Aluminum Oxide (Al2O3) in weight percent (wt%).
Angle_motf,°,degrees (°),? *,"Measurement value of the ""Magnetic Only tool face angle"" in degrees."
Angle_mtf,°,degrees (°),*,"Measurement value of the angle between magnetic north and the double-line orientation mark on the core liner in degrees; ""Magnetic Tool Face"" angle."
Attempted_daqs,,,#,Attempted number of data acqusitions.
Avg_magnetic_susceptibility,SI,SI,*,The average measured susceptibility value in unitless volume susceptibility.
B_star,,,*,Measurement value of the b* chromaticity blue-yellow measurement of L*a*b* CIELAB system for color reflectance.
Ba_ppm,ppm,parts per million (ppm),*,Measurement value of Barium (Ba) in ppm.
Background_total_counts,cps,counts per second (cps),@@ *,Measurement of total background NGR counts in seconds.
Be_ppm,ppm,parts per million (ppm),*,Measurement value of Beryllium (Be) in ppm.
Bead_loi,%,percent (%),*,Measurement (calculated) value of sample weight lost after ignition in percent.
Beaker_date_time,,,,The date and time calibration data for a MAD (Moisture and Density) beaker from the physical properties laboratory.
Best_fit_error,°C,degrees Celcius (°C),*,Measurement value of best-fit error in degrees Celcius.
Best_fit_temperature,°C,degrees Celcius (°C),*,Measurement value of best-fit downhole temperature in degrees Celcius
Bkgd_elapsed_zero_time,,,,Time elapsed since start of a section run.
Bkgd_susceptibility,SI,SI,@@ *,Measurement value of the background susceptibility at end of section run.
Bot_cm,cm,centimeters (cm),#,Bottom value of an interval of a section in cm.
Bot_depth_mbsf,mbsf,meters below sea floor (mbsf),#,Bottom depth value in meters below sea floor (mbsf).
Bulk_density,g/cc,grams per cc (g/cc),*,Measurement value of the bulk density in grams/cc.
CaCO3_wt_pct,wt%,weight percent (wt%),*,Measurement value of Calcium Carbonate (CaCO3) in weight percent (wt%).
CaO_wt_pct,wt%,weight percent (wt%),*,Measurement value of Calcium Oxide (CaO) in weight percent (wt%).
Calc_bulk_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated bulk density in g/cc.
Calc_dry_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated dry_density in g/cc.
Calc_grain_density,g/cc,grams per cc (g/cc),*,Measurement value of calculated grain density in g/cc.
Calc_method,,,,Letter designation of the actual method of calculation for moisture and density measurements.
Calc_porosity,%,percent (%),*,Measurement value of calculated porosity in percent.
Calc_void_ratio,,ratio,*,Measurement value of calculated void ratio.
Calc_water_content_dry,%,percent (%),*,Measurement value of calculated water content (dry) in percent.
Calc_water_content_wet,%,percent (%),*,Measurement value of calculated water content (wet) in percent.
Calib_channel_energy_m0,,,,Calibration channel energy intercept.
Calib_channel_energy_m1,,,,Calibration channel energy slope.
Calib_channel_energy_mse,,,,Calibration channel energy mean squared error.
Calib_delay,,,? *,Calibration delay.
Calib_density_m0,,,,Calibration density intercept.
Calib_density_m1,,,,Calibration density slope.
Calib_density_mse,,,,Calibration density mean squared error.
Calib_separation_m0,,,,Calibration separation intercept.
Calib_separation_m1,,,,Calibration separation slope.
Calib_separation_mse,,,,Calibration separation mean squared error.
Calib_time_m0,,,,Calibration time intercept.
Calib_time_m1,,,,Calibration time slope.
Calib_time_mse,,,,Calibration time mean squared error.
Calibration_timestamp,,,--,Date and time of calibration.
Catwalk_sample,,,,Flag to indicate if sample was taken on the core receiving platform before the core was split.
Ce_ppm,ppm,parts per million (ppm),*,Measurement value of Cerium (Ce) in ppm.
Channel_increment,,,,Wavelength increment between channels.
Co_ppm,ppm,parts per million (ppm),*,Measurement value of Cobalt (Co) in ppm.
Component_name,,,,Name of the component in a smear slide or sedimentary thin section.
Component_name_code,,,,Code number of the component name in a smear slide or sedimentary thin section.
Component_percent,%,percent (%),*,Percent of component in a smear slide.
Component_type_code,,,,"Code for type of component in a smear slide; M=Mineral, R=Rock, B=Biogenic, O=Other."
Contact_pressure,,,,Contact pressure applied.
Contaminated_reworked,,,,Flag for Contamination (C) or Reworked (R) specimen in sample.
Control_point_comment,,,,Remark on a control point for an age model.
Core,,,,Sequential numbers identifying the cores retrieved from a particular hole.
Core_comment,,,,Remark on a core.
Core_diameter,cm,centimeters (cm),-- *,Diameter of a core in cm.
Core_image_type,,,,"Type of image for a core, either CORE for all of a core or SECTION for a section of a core."
Core_status,,,--,"Indicator for the status of a core, either FULL or HALF."
Core_temperature,°C,degrees Celcius (°C),-- *,Measurement value of temperature of a core in degrees Celcius.
Core_type,,,,Letter code identifying the drill bit/coring method used to retrieve the core.
Corrected_susceptibility,SI,SI,??? @@ *,Measurement value of calculated correction of magnetic susceptibility.
Corrected_total_counts,cps,counts per second (cps),*,Measurement value of (calculated) corrected total counts per second.
Cr_ppm,ppm,parts per million (ppm),*,Measurement value of Chromium (Cr) in ppm.
Cs_ppm,ppm,parts per million (ppm),*,Measurement value of Cesium (Cs) in ppm.
Cu_ppm,ppm,parts per million (ppm),*,Measurement value of Copper (Cu) in ppm.
Curated_length,m,meters (m),#,Measurement value of the length of a curated core in meters.
Data_type_abbr,,,,Data type of an image.
Datum_age,ma,millions of years (ma),*,Age in millions of years (ma) of datum.
Datum_age_error,ma,millions of years (ma),*,Error value of datum age in millions of years (ma) of datum.
Datum_comment,,,,Remark on a datum.
Datum_depth,mbsf,meters below sea floor (mbsf),*,Depth in meters below sea floor (mbsf) of datum.
Datum_depth_error,mbsf,meters below sea floor (mbsf),*,Error value of datum depth in meters below sea floor (mbsf).
Datum_description,,,,Description of datum - fossil name.
Datum_fossil_group,,,,Identifier (ID) of the fossil group of the datum.
Datum_id,,,,Identifier (ID) of the datum.
Datum_location,,,,Location of sample from which datum call was made (ship or repository).
Datum_post_cruise_flag,,,,Flag to indicate if datum call was made post-cruise.
Datum_sample_id,,,,Identifier (ID) of a sample from which datum call was made.
Datum_type,,,,"Type of datum such as first occurrence (FO), last common occurrence (LCO)."
Declination,°,degrees (°),*,Measurement value of the orientation of the magnetic field of the sample (the field acquired at the time of the rock formation). The angle between geographic north and the magnetic field direction (the magnetic azimuth).
Demag_level,mT / °C,milleteslas (mT) or degrees Celcius (°C),*,Measurement value of the level of demagnetization in milliteslas (mT) if AF or degrees Celcius if thermal.
Demag_type,,,,"Type of demagnetization system used for measurement - AFD (integrated sub-system of the cryomagnetometer), AFDD (DTek), THD (thermal demag unit)."
