Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Depth_mbsf	Section_id	Magnetic_susceptibility	Corrected_susceptibility	Run_number	Run_timestamp	Core_status	Liner_status	Requested_daq_interval	Requested_daqs_per_sample	Bkgd_susceptibility	Bkgd_elapsed_zero_time	Core_temperature	Loop_temperature	Sample_elapsed_zero_time	Actual_daq_period	Core_diameter
208	1263	C	1	H	1	S	5	90	391015	13.8	13.7964218519798142900362146960418035384	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	9994	4	6.6000000000000005
208	1263	C	1	H	1	S	7	90	391015	14.200000000000001	14.1938812737977812904461586107018633652	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	17090	4	6.6000000000000005
208	1263	C	1	H	1	S	10	90	391015	12.5	12.4913510784747222137687450882811534998	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	24157	4	6.6000000000000005
208	1263	C	1	H	1	S	12	90	391015	11.5	11.4888359203956943357924001052607082184	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	31182	4	6.6000000000000005
208	1263	C	1	H	1	S	15	90	391015	11.5	11.486320762316666457816055122240262937	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	38207	4	6.6000000000000005
208	1263	C	1	H	1	S	17	90	391015	12	11.9838342466072218154607930714107978153	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	45152	4	6.6000000000000005
208	1263	C	1	H	1	S	20	90	391015	13.8	13.7812915202474700731991557661565341301	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	52254	4	6.6000000000000005
208	1263	C	1	H	1	S	22	90	391015	15	14.9787774362573015665586013930932506046	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	59276	4	6.6000000000000005
208	1263	C	1	H	1	S	25	90	391015	16	15.9762773154223048872833249494730699071	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	66259	4	6.6000000000000005
208	1263	C	1	H	1	S	27	90	391015	16.5	16.4737660956690947042048788696288843976	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	73273	4	6.6000000000000005
208	1263	C	1	H	1	S	30	90	391015	16.8	16.7712613204490407491411764495276694241	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	80269	4	6.6000000000000005
208	1263	C	1	H	1	S	32	90	391015	16.5	16.4687637058213826029827447624741994905	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	87245	4	6.6000000000000005
208	1263	C	1	H	1	S	35	90	391015	16	15.9662496218312140963421903894109159651	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	94267	4	6.6000000000000005
208	1263	C	1	H	1	S	37	90	391015	16.2	16.1637444885815403508332244326573137396	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	101264	4	6.6000000000000005
208	1263	C	1	H	1	S	40	90	391015	18	17.9612347009468093295358324994226772381	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	108274	4	6.6000000000000005
208	1263	C	1	H	1	S	42	90	391015	18.5	18.4587331479933334884795019091929475326	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	115261	4	6.6000000000000005
208	1263	C	1	H	1	S	45	90	391015	18.2	18.1562426939580711512263409551872226389	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	122217	4	6.6000000000000005
208	1263	C	1	H	1	S	47	90	391015	18	17.9537676351964598031195120772341495812	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	129130	4	6.6000000000000005
208	1263	C	1	H	1	S	50	90	391015	17.8	17.7512478227323746493547411177326700238	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	136168	4	6.6000000000000005
208	1263	C	1	H	1	S	52	90	391015	17.5	17.4487437635715602751815657709362295543	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	143162	4	6.6000000000000005
208	1263	C	1	H	1	S	55	90	391015	17.8	17.746067492163626696836629294341520874	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	150637	4	6.6000000000000005
208	1263	C	1	H	1	S	57	90	391015	17.8	17.7431857117539334029104227792765295473	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	158686	4	6.6000000000000005
208	1263	C	1	H	1	S	60	90	391015	17.5	17.4403021411961411567578985809496019606	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	166740	4	6.6000000000000005
208	1263	C	1	H	1	S	62	90	391015	18.2	18.1374192866975884914959014559274488779	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	174792	4	6.6000000000000005
208	1263	C	1	H	1	S	65	90	391015	18.5	18.4345346420509368740075866476433595351	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	182849	4	6.6000000000000005
208	1263	C	1	H	1	S	67	90	391015	17.8	17.7316507134635248374097989126640446964	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	190904	4	6.6000000000000005
208	1263	C	1	H	1	S	70	90	391015	17.2	17.1287664268464930103667476410323426057	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	198960	4	6.6000000000000005
208	1263	C	1	H	1	S	72	90	391015	15.5	15.425881066140601811987905759443478759	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	207019	4	6.6000000000000005
208	1263	C	1	H	1	S	75	90	391015	14.200000000000001	14.1219026410054903842194864781163345644	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	218131	4	6.6000000000000005
208	1263	C	1	H	1	S	77	90	391015	13	12.9188110552385998893688474847524135672	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	226766	4	6.6000000000000005
208	1263	C	1	H	1	S	80	90	391015	11.8	11.715718395382850023182417881431330814	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	235404	4	6.6000000000000005
208	1263	C	1	H	1	S	82	90	391015	12.200000000000001	12.1126282417344386901128330346769588248	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	244035	4	6.6000000000000005
208	1263	C	1	H	1	S	85	90	391015	12	11.9095348658194492430358763580511015676	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	252675	4	6.6000000000000005
208	1263	C	1	H	1	S	87	90	391015	11.5	11.4064418479340795864041832180776315625	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	261314	4	6.6000000000000005
208	1263	C	1	H	1	S	90	90	391015	10.8	10.7033459658117516062103817848850635413	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	269961	4	6.6000000000000005
208	1263	C	1	H	1	S	92	90	391015	10.8	10.7002490096005642546807897417353337642	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	278611	4	6.6000000000000005
208	1263	C	1	H	1	S	95	90	391015	10	9.897153843537475855377515381847540247	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	287256	4	6.6000000000000005
208	1263	C	1	H	1	S	97	90	391015	9.8	9.69405545520780934206686919208826146187	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	295910	4	6.6000000000000005
208	1263	C	1	H	1	S	100	91	391015	9	8.89095921505586157142780422224330618872	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	304558	4	6.6000000000000005
208	1263	C	1	H	1	S	102	91	391015	9.5	9.38786297490391380078873925239835091557	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	313206	4	6.6000000000000005
208	1263	C	1	H	1	S	105	91	391015	9.8	9.68476637672234623970441074590100839042	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	321855	4	6.6000000000000005
208	1263	C	1	H	1	S	107	91	391015	10.200000000000001	10.0816683464222995168390280927941168573	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	330508	4	6.6000000000000005
208	1263	C	1	H	1	S	110	91	391015	9.5	9.37856924203339342263785482973006356816	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	339164	4	6.6000000000000005
208	1263	C	1	H	1	S	112	91	391015	9.8	9.67547156976296649021773571327555928702	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	347816	4	6.6000000000000005
208	1263	C	1	H	1	S	115	91	391015	10.200000000000001	10.0719256444085619203276687080322155052	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	357720	4	6.6000000000000005
208	1263	C	1	H	1	S	117	91	391015	10	9.86812766620182487697207189950824631722	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	368328	4	6.6000000000000005
208	1263	C	1	H	1	S	120	91	391015	8.5	8.36431214454371810179856179501730178138	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	378985	4	6.6000000000000005
208	1263	C	1	H	1	S	122	91	391015	8	7.86051738860355917245033681636481786138	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	389584	4	6.6000000000000005
208	1263	C	1	H	1	S	125	91	391015	8.5	8.35669649650115554059787366208806454558	838	2003-04-04 12:39	FULL	FULL	2.5	4	0.2	558613	20.8	22	400256	4	6.6000000000000005
