"GO_STRUCT_NAME","GO_STRUCT_TYPE","JSON_NAME","CODE","JSON_UNIT","JSON_UNIT_DESCRIPT","JSON_DESCRIPT"
"Calib_separation_m0","sql.NullFloat64","Calib_separation_m0","","","","Calibration separation intercept."
"Calib_separation_m1","sql.NullFloat64","Calib_separation_m1","","","","Calibration separation slope."
"Calib_separation_mse","sql.NullFloat64","Calib_separation_mse","","","","Calibration separation mean squared error."
"Calib_time_m0","sql.NullFloat64","Calib_time_m0","","","","Calibration time intercept."
"Calib_time_m1","sql.NullFloat64","Calib_time_m1","","","","Calibration time slope."
"Calib_time_mse","sql.NullFloat64","Calib_time_mse","","","","Calibration time mean squared error."
"Calibration_timestamp","sql.NullString","Calibration_timestamp","--","","","Date and time of calibration."
"Calibration_timestamp","string","Calibration_timestamp","--","","","Date and time of calibration."
"Cao_wt_pct","sql.NullFloat64","CaO_wt_pct","*","wt%","weight percent (wt%)","Measurement value of Calcium Oxide (CaO) in weight percent (wt%)."
"Catwalk_sample","sql.NullString","Catwalk_sample","","","","Flag to indicate if sample was taken on the core receiving platform before the core was split."
"Ce_ppm","sql.NullFloat64","Ce_ppm","*","ppm","parts per million (ppm)","Measurement value of Cerium (Ce) in ppm."
"Channel_increment","int64","Channel_increment","","","","Wavelength increment between channels."
"Co_ppm","sql.NullFloat64","Co_ppm","*","ppm","parts per million (ppm)","Measurement value of Cobalt (Co) in ppm."
"Mad_comment","sql.NullString","Mad_comment","","","","Remark on a moisture and density sample."
"Component_name","string","Component_name","","","","Name of the component in a smear slide or sedimentary thin section."
"Component_name_code","int64","Component_name_code","","","","Code number of the component name in a smear slide or sedimentary thin section."
"Component_percent","sql.NullString","Component_percent","*","%","percent (%)","Percent of component in a smear slide."
"Component_type_code","string","Component_type_code","","","","Code for type of component in a smear slide; M=Mineral, R=Rock, B=Biogenic, O=Other."
"Contact_pressure","sql.NullFloat64","Contact_pressure","","","","Contact pressure applied."
"Contaminated_reworked","sql.NullString","Contaminated_reworked","","","","Flag for Contamination (C) or Reworked (R) specimen in sample."
"Control_point_comment","sql.NullString","Control_point_comment","","","","Remark on a control point for an age model."
