Leg	Site	Hole	Core	Core_type	Section_number	Section_type	Top_cm	Bot_cm	Depth_mbsf	Fossil_group	Fossil_group_name	Taxon_id	Genus_subgenus	Species_subspecies	Contaminated_reworked	Taxon_relative_abundance	Taxon_numeric_abundance	Taxon_percent_abundance	Presence_absence_flag	Sample_geologic_age_old	Sample_geologic_age_young	Sample_zone_old	Sample_zone_young	Sample_group_abundance	Sample_preservation	Sample_id	Location	Post_cruise_flag	Scientist_last_name	Scientist_first_name	Taxon_comment
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	11760	Ammobaculites	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	14066	Ammodiscus	cretaceus												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	5585	Ammodiscus	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	2475	Astrononion	novozealandicum												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	11740	Astrononion	sp.A												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	7680	Astrononion	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	14606	Bulimina	tuxpamensis												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	36426	Cibicides	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	14876	Cibicidoides	praemundulus												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	7810	Cribrostomoides	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	4145	Cyclammina	amplectans												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	7845	Cyclammina	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	11060	Gavelinella	spp.												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	15461	Globobulimina	affinis												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	15496	Globocassidulina	subglobosa												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	15531	Glomospira	charoides												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	15546	Glomospira	gordialis												1556125	SHI	F	benthics		
210	1276	A	1	W	4	S	37	38	757	3	Benthic Foraminifers	1090	Glomospira	spp.												1556125	SHI	F	benthics		
